encoder,opn,pre_type,use_static,use_cl,gpu,datetime,pre_weight,train_len,test_len,temperature,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,True,0,2025-10-03 01:12:20.505462,0.9,7,7,0.05,0.001,200,0.3918367028236389,0.27631446719169617,0.443960040807724,0.6167322993278503,0.35641393065452576,0.24658392369747162,0.39820367097854614,0.5796346664428711,0.3528423309326172,0.23369663953781128,0.40360279381275177,0.5907054543495178,0.37412530183792114,0.2614491954445839,0.42108185589313507,0.5981834828853607
uvrgcn,sub,all,True,True,0,2025-10-12 15:44:49.873362,0.9,7,7,0.05,0.001,200,0.3868466317653656,0.2707235813140869,0.439479261636734,0.6141891479492188,0.3511137366294861,0.23949944972991943,0.3948329985141754,0.5760217905044556,0.34826672077178955,0.22863054275512695,0.3993339538574219,0.5877788066864014,0.36898016929626465,0.2551115155220032,0.4171561300754547,0.5951054692268372
uvrgcn,sub,all,True,True,0,2025-10-12 20:25:19.454865,0.9,7,7,0.05,0.001,200,0.390123188495636,0.2742557227611542,0.4432939887046814,0.6178827285766602,0.35361456871032715,0.24359673261642456,0.39511555433273315,0.5783227682113647,0.3510320782661438,0.23187002539634705,0.4023110419511795,0.589928388595581,0.37186887860298157,0.25892622768878937,0.4192047715187073,0.5981027483940125
uvrgcn,sub,all,True,True,0,2025-10-13 18:34:01.001217,0.9,7,7,0.05,0.001,200,0.3909677267074585,0.2744777500629425,0.44531235098838806,0.6183873414993286,0.35650569200515747,0.24620042741298676,0.3999394476413727,0.5822787284851074,0.3526404798030853,0.23302049189805984,0.40471290051937103,0.5916540622711182,0.373736709356308,0.26033908873796463,0.42262589931488037,0.600333034992218
uvrgcn,sub,all,True,True,0,2025-10-14 00:05:15.057483,0.9,7,7,0.05,0.001,200,0.38901662826538086,0.2739327847957611,0.44107377529144287,0.6149157285690308,0.3521723449230194,0.2422444373369217,0.3943687677383423,0.5746896862983704,0.350173681974411,0.23194066435098648,0.39986881613731384,0.5869613587856293,0.37059450149536133,0.2580886110663414,0.4177212715148926,0.5948027074337006
uvrgcn,sub,all,True,True,0,2025-10-14 15:46:17.205138,0.9,7,7,0.05,0.001,200,0.3922962248325348,0.2780502736568451,0.44282975792884827,0.6180240511894226,0.3552577793598175,0.2438793033361435,0.39963671565055847,0.5800787210464478,0.3529200553894043,0.23402968049049377,0.4032192975282669,0.5913916826248169,0.37377700209617615,0.2609647884964943,0.42123323678970337,0.5990513861179352
uvrgcn,sub,all,True,True,0,2025-10-14 21:30:51.559876,0.9,7,7,0.05,0.001,200,0.3904353976249695,0.27492180466651917,0.4442426264286041,0.6165909767150879,0.3529365360736847,0.24105359613895416,0.3970128297805786,0.5778787136077881,0.3506070375442505,0.23102231323719025,0.40204866230487823,0.5895549654960632,0.3716859817504883,0.25798770040273666,0.42062772810459137,0.597234845161438
uvrgcn,sub,all,True,True,0,2025-10-15 16:04:06.620854,0.9,7,7,0.05,0.001,200,0.3922906219959259,0.2767786979675293,0.4454536437988281,0.6185084581375122,0.3562266230583191,0.2457563877105713,0.39905136823654175,0.5797961354255676,0.35260099172592163,0.233313150703907,0.4039459228515625,0.5914522111415863,0.3742586374282837,0.2612675428390503,0.42225250601768494,0.5991522967815399
uvrgcn,sub,all,True,True,0,2025-10-18 22:04:10.549656,0.9,7,7,0.05,0.001,200,0.39157333970069885,0.27570897340774536,0.4433545470237732,0.6200827956199646,0.35433775186538696,0.24238571524620056,0.3974972367286682,0.5814310312271118,0.35176676511764526,0.23168836534023285,0.40287618339061737,0.5927036106586456,0.3729555606842041,0.25904734432697296,0.4204258918762207,0.6007569134235382
uvrgcn,sub,all,True,True,0,2025-10-19 02:11:27.766783,0.9,7,7,0.05,0.001,200,0.3878570795059204,0.27149057388305664,0.44119489192962646,0.6178423762321472,0.3515055477619171,0.2394590824842453,0.39559996128082275,0.5767484307289124,0.3489835262298584,0.22906449437141418,0.4001009315252304,0.5891815721988678,0.36968129873275757,0.25547482818365097,0.4183974266052246,0.5972954034805298
uvrgcn,sub,all,True,True,0,2025-10-19 13:07:11.254333,0.9,7,7,0.05,0.001,200,0.39013949036598206,0.2736300528049469,0.44343528151512146,0.617579996585846,0.3549569845199585,0.24355636537075043,0.39899083971977234,0.5797154307365417,0.35168737173080444,0.23208195716142654,0.4029165506362915,0.5905035734176636,0.3725482225418091,0.25859320908784866,0.4212130606174469,0.5986477136611938
uvrgcn,sub,all,True,True,0,2025-10-19 18:27:08.819353,0.9,7,7,0.05,0.001,200,0.38791483640670776,0.27149057388305664,0.44006460905075073,0.6177414655685425,0.3510371446609497,0.23919670283794403,0.39451006054878235,0.5777374505996704,0.3490828275680542,0.22928651422262192,0.39977797865867615,0.5900696516036987,0.36947599053382874,0.25534363836050034,0.41728733479976654,0.5977394580841064
uvrgcn,sub,all,True,True,0,2025-10-19 23:04:09.804322,0.9,7,7,0.05,0.001,200,0.39172446727752686,0.27716219425201416,0.4431728720664978,0.6177212595939636,0.3550899922847748,0.24553437530994415,0.3967706263065338,0.5752346515655518,0.35209256410598755,0.23365627974271774,0.40220002830028534,0.5887778997421265,0.373407244682312,0.26134828478097916,0.4199717491865158,0.5964779555797577
uvrgcn,sub,all,True,True,0,2025-10-24 16:43:28.555436,0.9,7,7,0.05,0.001,200,0.3871464431285858,0.2705621123313904,0.44042789936065674,0.6164900660514832,0.35180819034576416,0.23998385667800903,0.39572107791900635,0.5763649344444275,0.34914878010749817,0.22968009114265442,0.4002523124217987,0.5885457992553711,0.3694773316383362,0.2552729845046997,0.41807448863983154,0.5964275002479553
uvrgcn,sub,all,True,True,0,2025-10-24 23:31:58.092535,0.9,7,7,0.05,0.001,200,0.3876887559890747,0.27173277735710144,0.441356360912323,0.6144313216209412,0.3517627716064453,0.24089212715625763,0.39481279253959656,0.5777374505996704,0.3487291932106018,0.22923605889081955,0.39992937445640564,0.5881723761558533,0.36972576379776,0.25631245225667953,0.4180845767259598,0.5960843861103058
