snapshot_index,temporal_position,mrr_filter,mrr_raw,num_triples,error
45,0.12968299711815562,0.25655460357666016,0.24641306698322296,496,0.7434453964233398
46,0.13256484149855907,0.23472682386636734,0.22621941566467285,487,0.7652731761336327
47,0.13544668587896252,0.19558042287826538,0.19291605800390244,445,0.8044195771217346
48,0.138328530259366,0.253570020198822,0.2450733557343483,504,0.746429979801178
49,0.14121037463976946,0.2603268474340439,0.2542537972331047,350,0.7396731525659561
50,0.1440922190201729,0.2223394587635994,0.22020456194877625,432,0.7776605412364006
51,0.14697406340057637,0.25057851523160934,0.24397611618041992,445,0.7494214847683907
52,0.14985590778097982,0.24193565547466278,0.23974554985761642,401,0.7580643445253372
53,0.15273775216138327,0.23772691935300827,0.23215122520923615,570,0.7622730806469917
54,0.15561959654178675,0.23381882905960083,0.22748082876205444,554,0.7661811709403992
55,0.1585014409221902,0.2397828921675682,0.23215529322624207,504,0.7602171078324318
56,0.16138328530259366,0.2417236715555191,0.23629406094551086,505,0.7582763284444809
57,0.1642651296829971,0.21202180534601212,0.20543254166841507,483,0.7879781946539879
58,0.16714697406340057,0.24041085690259933,0.232099249958992,587,0.7595891430974007
59,0.17002881844380405,0.2543465793132782,0.24450913071632385,441,0.7456534206867218
60,0.1729106628242075,0.27154359221458435,0.2571322023868561,489,0.7284564077854156
61,0.17579250720461095,0.27688921988010406,0.2694340944290161,501,0.7231107801198959
62,0.1786743515850144,0.24192406982183456,0.22946764528751373,487,0.7580759301781654
63,0.18155619596541786,0.25023555010557175,0.24494283646345139,513,0.7497644498944283
64,0.1844380403458213,0.254033587872982,0.24546346813440323,513,0.745966412127018
65,0.1873198847262248,0.23044846206903458,0.22497043013572693,524,0.7695515379309654
66,0.19020172910662825,0.2412116974592209,0.23183853924274445,655,0.7587883025407791
67,0.1930835734870317,0.24788347631692886,0.22435782849788666,545,0.7521165236830711
68,0.19596541786743515,0.22191780805587769,0.21563173085451126,599,0.7780821919441223
69,0.1988472622478386,0.26102520525455475,0.24976088106632233,702,0.7389747947454453
70,0.2017291066282421,0.2703039050102234,0.26098713278770447,734,0.7296960949897766
71,0.20461095100864554,0.2527640461921692,0.2477130964398384,519,0.7472359538078308
72,0.207492795389049,0.26326216757297516,0.2548600882291794,603,0.7367378324270248
73,0.21037463976945245,0.2382383868098259,0.22065575420856476,579,0.7617616131901741
74,0.2132564841498559,0.2489408552646637,0.23517745733261108,537,0.7510591447353363
75,0.21613832853025935,0.24819901585578918,0.2431211918592453,635,0.7518009841442108
76,0.21902017291066284,0.22322946041822433,0.2210926041007042,437,0.7767705395817757
77,0.2219020172910663,0.2092699259519577,0.20576824247837067,422,0.7907300740480423
78,0.22478386167146974,0.24498604983091354,0.2356233224272728,695,0.7550139501690865
79,0.2276657060518732,0.2439839020371437,0.23505548387765884,575,0.7560160979628563
80,0.23054755043227665,0.2402140349149704,0.23028025776147842,553,0.7597859650850296
81,0.2334293948126801,0.2565388083457947,0.2512095868587494,485,0.7434611916542053
